@relation 'lucene-weka.filters.unsupervised.attribute.Remove-V-R9,20,24,42,47,60-61,63,65-66,113,118,121,150,179,273,328,350,385,389,410,488,499,519,542,640,659,831,834,867,984,1018,1103,1778,1781,1810,1837,1853,1860,1908,1926,1945,1948,1973,1982,2009,2211,2271,2278,2306,2325,2711,3020,3037,3105,3195,3227,4368,4407,5048,6297,6488,7039,7045,7560,7647,7839,7860,8050,8061,8116,8202,8432,11617,11905,11975,15261'

@attribute CountDeclClass numeric
@attribute CountLine numeric
@attribute CountLineCodeExe numeric
@attribute Density numeric
@attribute Broker numeric
@attribute outFarness numeric
@attribute inCloseness numeric
@attribute Eigenvec numeric
@attribute Betweenness numeric
@attribute nBetweenness numeric
@attribute s42 numeric
@attribute s47 numeric
@attribute s50 numeric
@attribute s79 numeric
@attribute s108 numeric
@attribute s202 numeric
@attribute s257 numeric
@attribute s279 numeric
@attribute s314 numeric
@attribute s318 numeric
@attribute s339 numeric
@attribute s417 numeric
@attribute s428 numeric
@attribute s448 numeric
@attribute s471 numeric
@attribute s569 numeric
@attribute s588 numeric
@attribute s760 numeric
@attribute s763 numeric
@attribute s796 numeric
@attribute s913 numeric
@attribute s947 numeric
@attribute s1032 numeric
@attribute s1707 numeric
@attribute s1710 numeric
@attribute s1739 numeric
@attribute s1766 numeric
@attribute s1782 numeric
@attribute s1789 numeric
@attribute s1837 numeric
@attribute s1855 numeric
@attribute s1874 numeric
@attribute s1877 numeric
@attribute s1902 numeric
@attribute s1911 numeric
@attribute s1938 numeric
@attribute s2140 numeric
@attribute s2200 numeric
@attribute s2207 numeric
@attribute s2235 numeric
@attribute s2254 numeric
@attribute s2640 numeric
@attribute s2949 numeric
@attribute s2966 numeric
@attribute s3034 numeric
@attribute s3124 numeric
@attribute s3156 numeric
@attribute s4297 numeric
@attribute s4336 numeric
@attribute s4977 numeric
@attribute s6226 numeric
@attribute s6417 numeric
@attribute s6968 numeric
@attribute s6974 numeric
@attribute s7489 numeric
@attribute s7576 numeric
@attribute s7768 numeric
@attribute s7789 numeric
@attribute s7979 numeric
@attribute s7990 numeric
@attribute s8045 numeric
@attribute s8131 numeric
@attribute s8361 numeric
@attribute s11546 numeric
@attribute s11834 numeric
@attribute s11904 numeric
@attribute change_prone {false,true}

@data
1,305,75,23.484848,50.5,855045,0.101009,0.025055,113.115799,0.011278,11,0,1,3,0,2,6,0,2,9,1,2,0,0,1,0,0,28,0,0,8,10,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
2,115,22,3.918651,1937,893094,0.226519,0.083552,206.075104,0.020546,1,0,1,1,0,0,17,0,0,1,13,0,0,0,0,0,0,8,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
4,463,181,5.860404,2144.5,892972,0.226513,0.09979,6574.592285,0.655491,212,1,5,8,1,3,38,0,3,33,3,0,0,2,0,0,0,81,2,9,12,9,0,0,2,10,0,5,0,0,0,0,0,0,0,0,0,0,0,16,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
1,98,28,28.787878,47,888994,0.117154,0.030579,33.214142,0.003311,3,0,1,1,0,0,7,0,1,1,5,0,0,0,3,0,0,7,0,3,0,1,0,0,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,true
1,92,35,20.476191,83.5,889995,0.116086,0.037431,142.048874,0.014162,1,0,1,1,0,0,7,0,1,1,1,0,0,0,0,0,0,9,0,2,0,1,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
1,179,64,16.993464,127,889995,0.116492,0.040511,333.643036,0.033264,6,0,2,1,0,1,10,0,3,3,3,1,0,1,0,0,0,20,10,2,0,23,0,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,25,0,0,0,0,0,true
4,1527,769,4.675274,2436.5,856012,0.115301,0.090201,5479.159668,0.546276,112,0,5,13,0,6,49,0,28,84,16,3,2,1,27,0,0,324,27,2,32,38,0,0,5,0,1,0,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,true
3,496,233,11.764706,135,893048,0.226406,0.026129,681.738892,0.06797,9,0,3,1,2,0,15,0,6,24,7,3,1,0,0,0,0,101,6,16,1,21,0,0,1,0,8,0,0,0,1,0,0,0,0,0,0,0,0,3,4,0,0,0,4,0,0,0,13,0,0,0,0,0,3,0,0,0,0,0,0,0,3,5,0,0,true
2,178,70,4.579832,3406.5,890987,0.13082,0.14076,1121.096069,0.111774,1,0,1,1,0,0,15,0,0,2,3,0,0,0,3,0,0,21,1,5,0,3,0,0,1,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
1,106,23,41.666668,3.5,888106,0.115416,0.006762,0,0,6,0,2,1,0,2,7,0,0,2,3,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
2,283,110,2.272727,64.5,1005006,0.117587,0.014069,0,0,5,0,1,1,0,2,16,0,24,0,7,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
1,220,26,17.5,99,893278,0.226545,0.032209,813.65155,0.081122,11,0,3,1,0,4,16,0,1,3,8,2,0,0,0,0,0,13,0,0,2,0,0,0,0,0,0,2,0,22,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
1,80,69,50,0.5,1005006,0.100401,0.00001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
1,1627,1157,15,8.5,1000998,0.1003,0.000011,2.5,0.000249,0,0,0,0,0,0,12,0,0,159,1,0,0,0,81,0,0,451,3,23,53,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false
